x	 T=35 I, (uA)	xx	 T=55 I, (uA)	xxx	T=80 I, (uA)
0.034	0	0.034	0	0.25	0
5.34	0.36	0.534	0.36	0.738	1.6
0.739	1.06	0.739	1.06	0.804	2.04
0.872	1.92	0.872	1.92	0.938	3.48
0.984	3.24	0.984	3.24	1.01	4.78
1.171	8.26	1.171	8.26	1.036	5.36
1.263	13.18	1.263	13.18	1.043	5.5
1.351	20.44	1.351	20.44	1.119	7.87
1.456	33.96	1.456	33.96	1.175	10.23
1.539	49.79	1.539	49.79	1.28	17.06
1.632	75.5	1.632	75.5	1.292	18.08
1.822	189.4	1.822	189.4	1.565	65.65
1.943	264.59	1.943	264.59	1.726	131.28
2.14	544.4	2.14	544.4	1.801	177.97
2.22	712.1	2.22	712.1	1.935	300.4
2.58	2056.5	2.58	2056.5	1.998	379.18
2.65	2540.7	2.65	2540.7	2.02	425.3
2.7	2879.6	2.7	2879.6	2.1	550.6
2.74	3224.8	2.74	3224.8	2.14	634.6
2.79	3698.2	2.79	3698.2	2.2	772.6
2.89	4739	2.89	4739	2.22	850.8
2.94	5357	2.94	5357	2.29	1040.8
3.16	9336	3.16	9336	2.36	1304
3.3	13384	3.3	13384	2.48	1875.6
				2.52	2103.8
				2.61	2746.5
				2.65	3044.7
				2.71	3569.2
				2.72	3728.4
				2.92	6323
				2.99	7502
				3.06	8839
				3.12	10339
				3.22	13486
